"scanid","X","trial_order","pid","time","group","list","task","run.order","rerun","original.run","num1","num2","num3","correct.answer","offset","category","probset","iti_onset","iti_duration","stim_onset","stim_duration","response","accuracy","cumulative.response.time","response.time","timedout","rtcorrect","rerun.order","taskname","training_group"
"9228_1_1.3T2",3,4,95,"pre","VNT",1,"sym",1,0,3,17,8,28,2,3,"large double","Untrained_Acc",34.523,4,38.503,6,2,1,41.868,3.368,0,3.368,NA,"sym1","A"
"9228_1_1.3T2",4,5,87,"pre","VNT",1,"sym",1,0,3,8,2,9,2,-1,"small single","Untrained_Acc",44.513,4.9,49.409,6,2,1,51.559,2.153,0,2.153,NA,"sym1","A"
"9228_1_1.3T2",10,11,85,"pre","VNT",1,"sym",1,0,3,5,3,11,2,3,"small single","Untrained_Acc",112.214,7.6,119.806,6,2,1,121.59,1.787,0,1.787,NA,"sym1","A"
"9228_1_1.3T2",11,12,91,"pre","VNT",1,"sym",1,0,3,13,2,15,1,0,"small double","Untrained_Acc",125.816,7,132.809,6,1,1,134.943,2.136,0,2.136,NA,"sym1","A"
"9228_1_1.3T2",17,18,93,"pre","VNT",1,"sym",1,0,3,4,18,22,1,0,"large double","Untrained_Acc",198.236,7.2,205.405,6,1,1,209.305,3.904,0,3.904,NA,"sym1","A"
"9228_1_1.3T2",3,4,29,"pre","VNT",1,"sym",2,0,1,11,0,13,2,2,"large single","Control_Acc",34.515,4,38.527,6,2,1,39.961,1.437,0,1.437,NA,"sym1","A"
"9228_1_1.3T2",6,7,27,"pre","VNT",1,"sym",2,0,1,6,0,4,2,-2,"small single","Control_Acc",65.501,7.6,73.126,6,2,1,75.376,2.252,0,2.252,NA,"sym1","A"
"9228_1_1.3T2",7,8,25,"pre","VNT",1,"sym",2,0,1,2,0,2,1,0,"small single","Control_Acc",79.12,4.2,83.333,6,1,1,85.35,2.019,0,2.019,NA,"sym1","A"
"9228_1_1.3T2",13,14,33,"pre","VNT",1,"sym",2,0,1,19,0,19,1,0,"small double","Control_Acc",150.417,7.5,157.925,6,1,1,161.024,3.101,0,3.101,NA,"sym1","A"
"9228_1_1.3T2",14,15,35,"pre","VNT",1,"sym",2,0,1,22,0,21,2,-1,"large double","Control_Acc",163.92,7.6,171.529,6,2,1,173.046,1.52,0,1.52,NA,"sym1","A"
"9228_1_1.3T2",16,17,31,"pre","VNT",1,"sym",2,0,1,14,0,14,1,0,"small double","Control_Acc",187.813,4.4,192.225,6,1,1,193.609,1.388,0,1.388,NA,"sym1","A"
"9228_1_1.3T2",0,1,3,"pre","VNT",1,"sym",2,0,1,8,6,14,1,0,"large single","Trained_Acc",0.001,6.5,6.509,6,1,1,10.907,4.401,0,4.401,NA,"sym1","A"
"9228_1_1.3T2",5,6,11,"pre","VNT",1,"sym",2,0,1,19,7,23,2,-3,"large double","Trained_Acc",55.411,4.1,59.507,6,2,1,62.939,3.435,0,3.435,NA,"sym1","A"
"9228_1_1.3T2",8,9,7,"pre","VNT",1,"sym",2,0,1,13,6,20,2,1,"small double","Trained_Acc",89.329,4.4,93.706,6,2,1,99.02,5.317,0,5.317,NA,"sym1","A"
